dateTime,usoCpu,frequence,temp
25/11/2023 21:08,4.6,1389.2272,53.5
25/11/2023 21:08,1.5,1359.2888,53.5
25/11/2023 21:08,1.5,1549.4046,53.5
25/11/2023 21:08,0.0,1478.6416,54.5
25/11/2023 21:08,3.0,1414.8100,53.5
25/11/2023 21:08,1.5,1587.9588,53.5
25/11/2023 21:08,1.5,1723.2604,52.5
25/11/2023 21:08,1.5,1438.1948,52.5
25/11/2023 21:08,1.5,1338.1364,52.5
25/11/2023 21:08,3.0,1577.3474,52.5
25/11/2023 21:08,3.1,1544.2762,53.5
25/11/2023 21:08,1.5,1318.8112,53.5
25/11/2023 21:08,1.5,1512.1542,52.5
25/11/2023 21:08,0.0,1553.6676,53.5
25/11/2023 21:08,0.0,1363.8988,53.5
25/11/2023 21:08,1.6,1927.7678,53.5
25/11/2023 21:08,1.5,1459.5592,52.5
25/11/2023 21:08,0.0,1374.1176,53.5
25/11/2023 21:08,0.0,1364.6158,53.5
25/11/2023 21:08,0.0,1370.4426,54.5
25/11/2023 21:08,3.1,1798.0226,52.5
25/11/2023 21:08,1.5,1530.8700,52.5
25/11/2023 21:08,1.6,1523.3564,53.5
25/11/2023 21:08,1.5,1523.0830,53.5
25/11/2023 21:08,1.5,1540.7480,52.5
25/11/2023 21:08,1.5,1304.6540,52.5
25/11/2023 21:08,3.1,1416.5418,52.5
25/11/2023 21:08,0.0,1657.8238,53.5
25/11/2023 21:08,1.6,1482.5942,53.5
25/11/2023 21:08,1.5,1403.8546,52.5
25/11/2023 21:09,1.5,1557.3446,53.5
25/11/2023 21:09,3.1,1380.6522,52.5
25/11/2023 21:09,0.0,1548.6580,53.5
25/11/2023 21:09,0.0,1512.5778,53.5
25/11/2023 21:09,1.5,1565.4596,53.5
25/11/2023 21:09,1.5,1392.9292,53.5
25/11/2023 21:09,3.3,1930.1278,53.5
25/11/2023 21:09,0.0,1429.7188,52.5
25/11/2023 21:09,1.5,1480.5100,53.5
25/11/2023 21:09,1.5,1309.2828,54.5
25/11/2023 21:09,0.0,1387.2410,54.5
25/11/2023 21:09,3.1,1879.8012,53.5
25/11/2023 21:09,1.6,1504.6548,52.5
25/11/2023 21:09,1.5,1552.5274,52.5
25/11/2023 21:09,1.5,1540.7078,52.5
25/11/2023 21:09,3.1,1631.2210,52.5
25/11/2023 21:09,3.0,1925.2436,52.5
25/11/2023 21:09,4.5,1393.9878,52.5
